,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
0,500003,Hyderabad_Ravindranagar_L (Telangana),Hyderabad_Ravindranagar_L (Telangana),Hyderabad_Ravindranagar_L (Telangana),Hyderabad,Telangana,FALSE
1,477445,Lahar_Ward1_D (Madhya Pradesh),Lahar_Ward1_D (Madhya Pradesh),Lahar_Ward1_D (Madhya Pradesh),Lahar,Madhya Pradesh,TRUE
2,625305,Madurai_Avaniyapuram_H (Tamil Nadu),Madurai_Avaniyapuram_H (Tamil Nadu),Madurai_Avaniyapuram_H (Tamil Nadu),Madurai,Tamil Nadu,FALSE
3,515661,Anantapur_Dharmavaram_D (Andhra Pradesh),Anantapur_Dharmavaram_D (Andhra Pradesh),Anantapur_Dharmavaram_D (Andhra Pradesh),Anantapur,Andhra Pradesh,TRUE
4,175122,Nagwain_Nalagarh_DPP (Himachal Pradesh),Nagwain_Nalagarh_DPP (Himachal Pradesh),Nagwain_Nalagarh_DPP (Himachal Pradesh),Nagwain,Himachal Pradesh,FALSE
5,626143,Rajapalayam_Madathuppatti_D (Tamil Nadu),Rajapalayam_Madathuppatti_D (Tamil Nadu),Rajapalayam_Madathuppatti_D (Tamil Nadu),Rajapalayam,Tamil Nadu,TRUE
6,560051,Bangalore_Shantinagar_L (Karnataka),Bangalore_Shantinagar_L (Karnataka),Bangalore_Shantinagar_L (Karnataka),Bangalore,Karnataka,FALSE
7,172001,Rampur_Khaneri2_D (Himachal Pradesh),Rampur_Khaneri2_D (Himachal Pradesh),Rampur_Khaneri2_D (Himachal Pradesh),Rampur Bushahr,Himachal Pradesh,FALSE
8,561228,Gauribidanur_Srinagara_D (Karnataka),Gauribidanur_Srinagara_D (Karnataka),Gauribidanur_Srinagara_D (Karnataka),Gauribidanur,Karnataka,TRUE
9,225404,Dariyabad_MathuraNagar_D (Uttar Pradesh),Dariyabad_MathuraNagar_D (Uttar Pradesh),Dariyabad_MathuraNagar_D (Uttar Pradesh),Dariyabad,Uttar Pradesh,TRUE
10,494777,Pakhanjur_Sohgaon_D (Chhattisgarh),Pakhanjur_Sohgaon_D (Chhattisgarh),Pakhanjur_Sohgaon_D (Chhattisgarh),Pakhanjur,Chhattisgarh,FALSE
11,400050,Mumbai_GoregaonTemp_L (Maharashtra),Mumbai_GoregaonTemp_L (Maharashtra),Mumbai_GoregaonTemp_L (Maharashtra),Mumbai,Maharashtra,FALSE
12,792103,Namsai_Tinali_D (Arunachal Pradesh),Namsai_Tinali_D (Arunachal Pradesh),Namsai_Tinali_D (Arunachal Pradesh),Namsai,Arunachal Pradesh,TRUE
13,402104,Mangaon_Kalamje_D (Maharashtra),Mangaon_Kalamje_D (Maharashtra),Mangaon_Kalamje_D (Maharashtra),Mangaon,Maharashtra,FALSE
14,573218,Hassan_Nagathavalli_I (Karnataka),Hassan_Nagathavalli_I (Karnataka),Hassan_Nagathavalli_I (Karnataka),Hassan,Karnataka,TRUE
15,629253,Thuckalay_EranielRoad_D (Tamil Nadu),Thuckalay_EranielRoad_D (Tamil Nadu),Thuckalay_EranielRoad_D (Tamil Nadu),Thuckalay,Tamil Nadu,TRUE
16,230001,Pratapgarh_Teonga_D (Uttar Pradesh),Pratapgarh_Teonga_D (Uttar Pradesh),Pratapgarh_Teonga_D (Uttar Pradesh),Pratapgarh,Uttar Pradesh,TRUE
17,670622,Kannur_Koodali_H (Kerala),Kannur_Koodali_H (Kerala),Kannur_Koodali_H (Kerala),Kannur,Kerala,FALSE
18,785623,Golaghat_BaruaRd_D (Assam),Golaghat_BaruaRd_D (Assam),Golaghat_BaruaRd_D (Assam),Golaghat,Assam,TRUE
19,695606,Venjaramoodu_Palavila_D (Kerala),Venjaramoodu_Palavila_D (Kerala),Venjaramoodu_Palavila_D (Kerala),Venjaramoodu,Kerala,TRUE
20,403715,Goa_Cortalim_H (Goa),Goa_Cortalim_H (Goa),Goa_Cortalim_H (Goa),Goa,Goa,FALSE
21,586206,Afzalpur_GanagapurRoad_D (Karnataka),Afzalpur_GanagapurRoad_D (Karnataka),Afzalpur_GanagapurRoad_D (Karnataka),Afzalpur,Karnataka,TRUE
22,143515,SriHargobindpur_Talwara_D (Punjab),SriHargobindpur_Talwara_D (Punjab),SriHargobindpur_Talwara_D (Punjab),Sri Hargobindpur,Punjab,TRUE
23,362001,Junagadh_Dolatpara_I (Gujarat),Junagadh_Dolatpara_I (Gujarat),Junagadh_Dolatpara_I (Gujarat),Junagadh,Gujarat,FALSE
24,465001,Shajapur_Mahupura_D (Madhya Pradesh),Shajapur_Mahupura_D (Madhya Pradesh),Shajapur_Mahupura_D (Madhya Pradesh),Shajapur,Madhya Pradesh,TRUE
25,416019,Kolhapur_HupariRd_H (Maharashtra),Kolhapur_HupariRd_H (Maharashtra),Kolhapur_HupariRd_H (Maharashtra),Kolhapur,Maharashtra,TRUE
26,626138,Rajapalayam_Madathuppatti_D (Tamil Nadu),Rajapalayam_Madathuppatti_D (Tamil Nadu),Rajapalayam_Madathuppatti_D (Tamil Nadu),Rajapalayam,Tamil Nadu,TRUE
27,722107,Bankura_KeranDPP_D (West Bengal),Bankura_KeranDPP_D (West Bengal),Bankura_KeranDPP_D (West Bengal),Bankura,West Bengal,TRUE
28,635111,Krishnagiri_Bynapalli_I (Tamil Nadu),Krishnagiri_Bynapalli_I (Tamil Nadu),Krishnagiri_Bynapalli_I (Tamil Nadu),Krishnagiri,Tamil Nadu,TRUE
29,403512,Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa,Goa,TRUE
30,306504,Pindwara_KashibaiColony_D (Rajasthan),Pindwara_KashibaiColony_D (Rajasthan),Pindwara_KashibaiColony_D (Rajasthan),Pindwara,Rajasthan,TRUE
31,635702,Tiruppattur_KrishagiriRd_D (Tamil Nadu),Tiruppattur_KrishagiriRd_D (Tamil Nadu),Tiruppattur_KrishagiriRd_D (Tamil Nadu),Tiruppattur,Tamil Nadu,TRUE
32,627801,Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi,Tamil Nadu,FALSE
33,385510,Palanpur_Esbipura1_D (Gujarat),Palanpur_Esbipura1_D (Gujarat),Palanpur_Esbipura1_D (Gujarat),Palanpur,Gujarat,TRUE
34,301024,Kotputli_Bansur_D (Rajasthan),Kotputli_Bansur_D (Rajasthan),Kotputli_Bansur_D (Rajasthan),Kotputli,Rajasthan,TRUE
35,741314,Nabadwip_Srirampur1_D (West Bengal),Nabadwip_Srirampur1_D (West Bengal),Nabadwip_Srirampur1_D (West Bengal),Nabadwip,West Bengal,TRUE
36,641105,Coimbatore_Chettipalaym_L (Tamil Nadu),Coimbatore_Chettipalaym_L (Tamil Nadu),Coimbatore_Chettipalaym_L (Tamil Nadu),Coimbatore,Tamil Nadu,TRUE
37,604503,Chetpet_Savarapoondi_D (Tamil Nadu),Chetpet_Savarapoondi_D (Tamil Nadu),Chetpet_Savarapoondi_D (Tamil Nadu),Chetpet,Tamil Nadu,TRUE
38,783336,Gossaigaon_TnaliDPP_D (Assam),Gossaigaon_TnaliDPP_D (Assam),Gossaigaon_TnaliDPP_D (Assam),Gossaigaon,Assam,TRUE
39,680594,Pazhayannur_Thiruvlwml1_D (Kerala),Pazhayannur_Thiruvlwml1_D (Kerala),Pazhayannur_Thiruvlwml1_D (Kerala),Pazhayannur,Kerala,TRUE
40,814111,Maheshpur_Grmnbank_D (Jharkhand),Maheshpur_Grmnbank_D (Jharkhand),Maheshpur_Grmnbank_D (Jharkhand),Maheshpur,Jharkhand,TRUE
41,323025,Bundi_Central_D_1 (Rajasthan),Bundi_Central_D_1 (Rajasthan),Bundi_Central_D_1 (Rajasthan),Bundi,Rajasthan,TRUE
42,335061,Raisinghnagar_Ward24_D (Rajasthan),Raisinghnagar_Ward24_D (Rajasthan),Raisinghnagar_Ward24_D (Rajasthan),Raisinghnagar,Rajasthan,TRUE
43,393145,Rajpipla_DSPOffice_DPP (Gujarat),Rajpipla_DSPOffice_DPP (Gujarat),Rajpipla_DSPOffice_DPP (Gujarat),Rajpipla,Gujarat,TRUE
44,679334,Chungatra_KaithakodanBuilding_DPP (Kerala),Chungatra_KaithakodanBuilding_DPP (Kerala),Chungatra_KaithakodanBuilding_DPP (Kerala),chungatra,Kerala,TRUE
45,228172,Jalalpur_Jaukabad_D (Uttar Pradesh),Jalalpur_Jaukabad_D (Uttar Pradesh),Jalalpur_Jaukabad_D (Uttar Pradesh),Jalalpur,Uttar Pradesh,TRUE
46,342004,Jodhpur_Temp_L (Rajasthan),Jodhpur_BasniPhase2_P (Rajasthan),Jodhpur_Temp_L (Rajasthan),Jodhpur,Rajasthan,FALSE
47,590009,Belgaum_MarutiNagar_I (Karnataka),Belgaum_MarutiNagar_I (Karnataka),Belgaum_MarutiNagar_I (Karnataka),Belgaum,Karnataka,FALSE
48,532579,Salur_Eswar_D (Andhra Pradesh),Salur_Eswar_D (Andhra Pradesh),Salur_Eswar_D (Andhra Pradesh),Salur,Andhra Pradesh,TRUE
49,425444,Shahada_Untavad_D (Maharashtra),Shahada_Untavad_D (Maharashtra),Shahada_Untavad_D (Maharashtra),Shahada,Maharashtra,TRUE
50,678621,Palakkad_Kodumba_D (Kerala),Palakkad_Kodumba_D (Kerala),Palakkad_Kodumba_D (Kerala),Palakkad,Kerala,FALSE
51,383006,Himmatnagar_Hadiyol_D (Gujarat),Himmatnagar_Hadiyol_D (Gujarat),Himmatnagar_Hadiyol_D (Gujarat),Himmatnagar,Gujarat,TRUE
52,385505,Deesa_NeminathNagar_D (Gujarat),Deesa_NeminathNagar_D (Gujarat),Deesa_NeminathNagar_D (Gujarat),Deesa,Gujarat,TRUE
53,680522,Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur,Kerala,TRUE
54,636808,Palacode_Dandukaranahalli_D (Tamil Nadu),Palacode_Dandukaranahalli_D (Tamil Nadu),Palacode_Dandukaranahalli_D (Tamil Nadu),Palacode,Tamil Nadu,TRUE
55,227305,Lucknow_Bhokapur_L (Uttar Pradesh),Lucknow_Bhokapur_GW (Uttar Pradesh),Lucknow_Bhokapur_R (Uttar Pradesh),Lucknow,Uttar Pradesh,FALSE
56,628851,Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli,Tamil Nadu,TRUE
57,416112,Kolhapur_HupariRd_H (Maharashtra),Kolhapur_HupariRd_H (Maharashtra),Kolhapur_HupariRd_H (Maharashtra),Kolhapur,Maharashtra,FALSE
58,802210,Arrah_Pakariabar_D (Bihar),Arrah_Pakariabar_D (Bihar),Arrah_Pakariabar_D (Bihar),Arrah,Bihar,FALSE
59,533235,Mandapeta_Ravulapalem_D (Andhra Pradesh),Mandapeta_Ravulapalem_D (Andhra Pradesh),Mandapeta_Ravulapalem_D (Andhra Pradesh),Mandapeta,Andhra Pradesh,TRUE
60,302000,Jaipur_SitapuraGoner_L (Rajasthan),Jaipur_SitapuraGoner_L (Rajasthan),Jaipur_SitapuraGoner_L (Rajasthan),Jaipur,Rajasthan,FALSE
61,629707,Nagercoil_Muhilanvilai_D (Tamil Nadu),Nagercoil_Muhilanvilai_D (Tamil Nadu),Nagercoil_Muhilanvilai_D (Tamil Nadu),Nagercoil,Tamil Nadu,TRUE
62,723163,Purulia_GariDPP_D (West Bengal),Purulia_GariDPP_D (West Bengal),Purulia_GariDPP_D (West Bengal),Purulia,West Bengal,TRUE
63,591104,Bailhongal_MahantNagar_D (Karnataka),Bailhongal_MahantNagar_D (Karnataka),Bailhongal_MahantNagar_D (Karnataka),Bailhongal,Karnataka,TRUE
